
=== New Session Started at Thu Dec 12 17:30:41 EST 2024 ===
Packet 7: 40000 bytes, RTT=2ms, SUCCESS
Packet 8: 40000 bytes, RTT=2ms, SUCCESS
Packet 9: 40000 bytes, RTT=2ms, SUCCESS
Packet 10: 40000 bytes, RTT=2ms, SUCCESS
Packet 11: 40000 bytes, RTT=3ms, SUCCESS
Packet 12: 40000 bytes, RTT=3ms, SUCCESS
Packet 13: 40000 bytes, RTT=2ms, SUCCESS
Packet 14: 40000 bytes, RTT=3ms, SUCCESS
Packet 15: 40000 bytes, RTT=4ms, SUCCESS
Packet 16: 40000 bytes, RTT=2ms, SUCCESS
Packet 17: 40000 bytes, RTT=1ms, SUCCESS
Packet 18: 40000 bytes, RTT=2ms, SUCCESS
Packet 19: 40000 bytes, RTT=2ms, SUCCESS
Packet 20: 40000 bytes, RTT=2ms, SUCCESS
Packet 21: 40000 bytes, RTT=3ms, SUCCESS
Packet 22: 40000 bytes, RTT=2ms, SUCCESS
Packet 23: 40000 bytes, RTT=4ms, SUCCESS
Packet 24: 40000 bytes, RTT=3ms, SUCCESS
Packet 25: 40000 bytes, RTT=3ms, SUCCESS
Packet 26: 40000 bytes, RTT=3ms, SUCCESS
Packet 27: 40000 bytes, RTT=2ms, SUCCESS
Packet 28: 40000 bytes, RTT=3ms, SUCCESS
Packet 29: 40000 bytes, RTT=3ms, SUCCESS
Packet 30: 40000 bytes, RTT=4ms, SUCCESS
Packet 31: 40000 bytes, RTT=2ms, SUCCESS
Packet 32: 40000 bytes, RTT=2ms, SUCCESS
Packet 33: 40000 bytes, RTT=3ms, SUCCESS
Packet 34: 40000 bytes, RTT=5ms, SUCCESS
Packet 35: 40000 bytes, RTT=3ms, SUCCESS
Packet 36: 40000 bytes, RTT=4ms, SUCCESS
Packet 37: 40000 bytes, RTT=4ms, SUCCESS
Packet 38: 40000 bytes, RTT=3ms, SUCCESS
Packet 39: 40000 bytes, RTT=3ms, SUCCESS
Packet 40: 40000 bytes, RTT=2ms, SUCCESS
Packet 41: 40000 bytes, RTT=3ms, SUCCESS
Packet 42: 40000 bytes, RTT=2ms, SUCCESS
Packet 43: 40000 bytes, RTT=2ms, SUCCESS
Packet 44: 40000 bytes, RTT=2ms, SUCCESS
Packet 45: 40000 bytes, RTT=2ms, SUCCESS
Packet 46: 40000 bytes, RTT=2ms, SUCCESS
Packet 47: 40000 bytes, RTT=3ms, SUCCESS
Packet 48: 40000 bytes, RTT=1ms, SUCCESS
Packet 49: 40000 bytes, RTT=2ms, SUCCESS
Packet 50: 40000 bytes, RTT=2ms, SUCCESS
Packet 51: 40000 bytes, RTT=2ms, SUCCESS
Packet 52: 40000 bytes, RTT=2ms, SUCCESS
Packet 53: 40000 bytes, RTT=2ms, SUCCESS
Packet 54: 40000 bytes, RTT=2ms, SUCCESS
Packet 55: 40000 bytes, RTT=2ms, SUCCESS
Packet 56: 40000 bytes, RTT=2ms, SUCCESS
Packet 57: 40000 bytes, RTT=6ms, SUCCESS
Packet 58: 40000 bytes, RTT=1ms, SUCCESS
Packet 59: 40000 bytes, RTT=2ms, SUCCESS
Packet 60: 40000 bytes, RTT=3ms, SUCCESS
Packet 61: 40000 bytes, RTT=3ms, SUCCESS
Packet 62: 40000 bytes, RTT=4ms, SUCCESS
Packet 63: 40000 bytes, RTT=4ms, SUCCESS
Packet 64: 40000 bytes, RTT=2ms, SUCCESS
Packet 65: 40000 bytes, RTT=3ms, SUCCESS
Packet 66: 40000 bytes, RTT=3ms, SUCCESS
Packet 67: 40000 bytes, RTT=3ms, SUCCESS
Packet 68: 40000 bytes, RTT=1ms, SUCCESS
Packet 69: 40000 bytes, RTT=2ms, SUCCESS
Packet 70: 40000 bytes, RTT=2ms, SUCCESS
Packet 71: 40000 bytes, RTT=3ms, SUCCESS
Packet 72: 40000 bytes, RTT=2ms, SUCCESS
Packet 73: 40000 bytes, RTT=2ms, SUCCESS
Packet 74: 40000 bytes, RTT=2ms, SUCCESS
Packet 75: 40000 bytes, RTT=3ms, SUCCESS
Packet 76: 40000 bytes, RTT=2ms, SUCCESS
Packet 77: 40000 bytes, RTT=1ms, SUCCESS
Packet 78: 40000 bytes, RTT=2ms, SUCCESS
Packet 79: 40000 bytes, RTT=1ms, SUCCESS
Packet 80: 40000 bytes, RTT=2ms, SUCCESS
Packet 81: 40000 bytes, RTT=3ms, SUCCESS
Packet 82: 40000 bytes, RTT=3ms, SUCCESS
Packet 83: 40000 bytes, RTT=1ms, SUCCESS
Packet 84: 40000 bytes, RTT=3ms, SUCCESS
Packet 85: 40000 bytes, RTT=3ms, SUCCESS
Packet 86: 40000 bytes, RTT=1ms, SUCCESS
Packet 87: 40000 bytes, RTT=2ms, SUCCESS
Packet 88: 40000 bytes, RTT=2ms, SUCCESS
Packet 89: 40000 bytes, RTT=2ms, SUCCESS
Packet 90: 40000 bytes, RTT=2ms, SUCCESS
Packet 91: 40000 bytes, RTT=2ms, SUCCESS
Packet 92: 40000 bytes, RTT=1ms, SUCCESS
Packet 93: 40000 bytes, RTT=2ms, SUCCESS
Packet 94: 40000 bytes, RTT=2ms, SUCCESS
